"year","plant_name","aea_energy_region","source","data_version","fuel_type","generation","acep_region"
2011,"Hollis","Southeast","PCE","Final","Wind",NA,"Coastal"
2011,"Hollis","Southeast","PCE","Final","Solar",NA,"Coastal"
2011,"Hollis","Southeast","PCE","Final","Storage",NA,"Coastal"
2011,"Hollis","Southeast","PCE","Final","Other",NA,"Coastal"
2011,"Hydaburg","Southeast","EIA","Final","Oil",23,"Coastal"
2011,"Hydaburg","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"Hydaburg","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"Hydaburg","Southeast","EIA","Final","Hydro",NA,"Coastal"
2011,"Hydaburg","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"Hydaburg","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"Hydaburg","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"Hydaburg","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"Mentasta Lake","Copper River/Chugach","PCE","Final","Oil",237.108,"Coastal"
2011,"Mentasta Lake","Copper River/Chugach","PCE","Final","Gas",NA,"Coastal"
2011,"Mentasta Lake","Copper River/Chugach","PCE","Final","Coal",NA,"Coastal"
2011,"Mentasta Lake","Copper River/Chugach","PCE","Final","Hydro",NA,"Coastal"
2011,"Mentasta Lake","Copper River/Chugach","PCE","Final","Wind",NA,"Coastal"
2011,"Mentasta Lake","Copper River/Chugach","PCE","Final","Solar",NA,"Coastal"
2011,"Mentasta Lake","Copper River/Chugach","PCE","Final","Storage",NA,"Coastal"
2011,"Mentasta Lake","Copper River/Chugach","PCE","Final","Other",NA,"Coastal"
2011,"Naukati Bay","Southeast","PCE","Final","Oil",449.908,"Coastal"
2011,"Naukati Bay","Southeast","PCE","Final","Gas",NA,"Coastal"
2011,"Naukati Bay","Southeast","PCE","Final","Coal",NA,"Coastal"
2011,"Naukati Bay","Southeast","PCE","Final","Hydro",NA,"Coastal"
2011,"Naukati Bay","Southeast","PCE","Final","Wind",NA,"Coastal"
2011,"Naukati Bay","Southeast","PCE","Final","Solar",NA,"Coastal"
2011,"Naukati Bay","Southeast","PCE","Final","Storage",NA,"Coastal"
2011,"Naukati Bay","Southeast","PCE","Final","Other",NA,"Coastal"
2011,"Northway","Yukon-Koyukuk/Upper Tanana","EIA","Final","Oil",1286,"Rural Remote"
2011,"Northway","Yukon-Koyukuk/Upper Tanana","EIA","Final","Gas",NA,"Rural Remote"
2011,"Northway","Yukon-Koyukuk/Upper Tanana","EIA","Final","Coal",NA,"Rural Remote"
2011,"Northway","Yukon-Koyukuk/Upper Tanana","EIA","Final","Hydro",NA,"Rural Remote"
2011,"Northway","Yukon-Koyukuk/Upper Tanana","EIA","Final","Wind",NA,"Rural Remote"
2011,"Northway","Yukon-Koyukuk/Upper Tanana","EIA","Final","Solar",NA,"Rural Remote"
2011,"Northway","Yukon-Koyukuk/Upper Tanana","EIA","Final","Storage",NA,"Rural Remote"
2011,"Northway","Yukon-Koyukuk/Upper Tanana","EIA","Final","Other",NA,"Rural Remote"
2011,"Kasidaya Creek","Southeast","EIA","Final","Oil",NA,"Coastal"
2011,"Kasidaya Creek","Southeast","EIA","Final","Gas",NA,"Coastal"
2011,"Kasidaya Creek","Southeast","EIA","Final","Coal",NA,"Coastal"
2011,"Kasidaya Creek","Southeast","EIA","Final","Hydro",7965,"Coastal"
2011,"Kasidaya Creek","Southeast","EIA","Final","Wind",NA,"Coastal"
2011,"Kasidaya Creek","Southeast","EIA","Final","Solar",NA,"Coastal"
2011,"Kasidaya Creek","Southeast","EIA","Final","Storage",NA,"Coastal"
2011,"Kasidaya Creek","Southeast","EIA","Final","Other",NA,"Coastal"
2011,"Slana","Copper River/Chugach","PCE","Final","Oil",1150.458,"Coastal"
2011,"Slana","Copper River/Chugach","PCE","Final","Gas",NA,"Coastal"
2011,"Slana","Copper River/Chugach","PCE","Final","Coal",NA,"Coastal"
